,EulerClassic,EulerSwept,HeatClassic,HeatSwept
0.0,0.0,0.0,10.0,0.0
2.0,0.0,0.0,34.0,0.0
4.0,0.0,0.0,53.0,0.0
6.0,0.0,0.0,140.0,0.0
8.0,0.0,0.0,7.0,0.0
10.0,0.0,0.0,68.0,0.0
12.0,0.0,0.0,10.0,43.0
14.0,0.0,0.0,13.0,150.0
16.0,8.0,0.0,30.0,114.0
18.0,36.0,0.0,22.0,227.0
20.0,596.0,640.0,253.0,106.0
