,EulerClassic,EulerSwept,HeatClassic,HeatSwept
64,3.0,0.0,5.0,0.0
96,44.0,5.0,152.0,0.0
128,148.0,21.0,9.0,0.0
192,12.0,51.0,77.0,80.0
256,42.0,48.0,135.0,80.0
384,150.0,178.0,112.0,43.0
512,88.0,277.0,164.0,222.0
768,393.0,300.0,226.0,455.0
