tpb,gpuA,nX,time
384,40.0000,10014720,576.77559200
384,48.0000,10002432,627.80743317
384,56.0000,10027008,672.23194573
384,64.0000,9984000,706.01270076
384,72.0000,10063872,744.40143884
384,80.0000,10045440,770.85803662
448,0.0000,107520,9.17430198
448,8.0000,129024,6.09529633
448,16.0000,100352,5.96394142
448,24.0000,114688,6.66096097
448,32.0000,129024,9.60868266
448,40.0000,143360,9.89638151
448,48.0000,157696,12.85153012
448,56.0000,86016,7.21438537
448,64.0000,93184,9.67723983
448,72.0000,100352,9.79817576
448,80.0000,107520,9.86641362
448,0.0000,1003520,50.20253242
448,8.0000,1032192,43.03298063
448,16.0000,1003520,35.90932678
448,24.0000,1032192,48.13229990
448,32.0000,1032192,56.80024624
448,40.0000,1003520,61.04404964
448,48.0000,1025024,67.66879842
448,56.0000,1032192,73.56632323
448,64.0000,1025024,76.79073347
448,72.0000,1003520,77.66463927
448,80.0000,1075200,86.70188605
448,0.0000,9999360,487.69443991
448,8.0000,10020864,407.69191488
448,16.0000,10035200,352.43001249
448,24.0000,10035200,447.43904755
448,32.0000,9999360,528.24906177
448,40.0000,10035200,596.08750873
448,48.0000,10013696,648.15703839
448,56.0000,10063872,696.04538499
448,64.0000,10063872,735.23184373
448,72.0000,10035200,765.46348513
448,80.0000,9999360,790.96845455
512,0.0000,122880,8.19269143
512,8.0000,98304,4.88573002
512,16.0000,114688,6.29445562
512,24.0000,131072,7.30848907
512,32.0000,147456,10.46023791
512,40.0000,81920,7.10823113
512,48.0000,90112,7.19417217
512,56.0000,98304,7.29988317
512,64.0000,106496,10.37366028
512,72.0000,114688,10.60724541
512,80.0000,122880,10.74253475
512,0.0000,1024000,52.85893390
512,8.0000,1032192,45.51656356
512,16.0000,1032192,37.33484758
512,24.0000,1048576,45.99574670
512,32.0000,1032192,53.22364689
512,40.0000,983040,56.89542741
512,48.0000,991232,63.29094920
512,56.0000,983040,66.82708671
512,64.0000,1064960,76.50059282
512,72.0000,1032192,77.21963280
512,80.0000,983040,76.51068412
512,0.0000,9994240,483.05370102
512,8.0000,10027008,403.47498099
512,16.0000,10035200,352.10636362
512,24.0000,10027008,428.81566701
512,32.0000,10027008,508.44318127
512,40.0000,9994240,569.12203001
512,48.0000,10002432,621.13137373
512,56.0000,10027008,665.78069914
512,64.0000,10010624,701.20475573
512,72.0000,9977856,730.61179653
512,80.0000,10076160,764.87613252
576,0.0000,92160,5.74984957
576,8.0000,110592,5.26527800
576,16.0000,129024,6.65520155
576,24.0000,147456,9.68145000
576,32.0000,82944,6.64255922
576,40.0000,92160,6.79295451
576,48.0000,101376,9.67401124
576,56.0000,110592,9.90962698
576,64.0000,119808,10.05475956
576,72.0000,129024,12.99459310
576,80.0000,138240,13.23095390
576,0.0000,1013760,50.28278582
576,8.0000,995328,40.33203872
576,16.0000,1032192,39.01830032
576,24.0000,1032192,49.36631710
576,32.0000,995328,57.34899924
576,40.0000,1013760,65.11026905
576,48.0000,1013760,71.10778538
576,56.0000,995328,74.38342723
576,64.0000,1078272,84.65912607
576,72.0000,1032192,84.64241548
576,80.0000,967680,81.90302622
576,0.0000,9999360,483.68154537
576,8.0000,10008576,400.61761226
576,16.0000,9999360,359.20591345
576,24.0000,10027008,471.61730509
576,32.0000,10036224,558.96636276
576,40.0000,10045440,628.53491732
576,48.0000,10036224,684.99980465
